PUNKTNO	amp	start	mean
133	8.382860451	249.9289802	7.190684932
134	8.424312185	250.2138555	7.258273973
135	8.419857043	250.2154017	7.257452055
136	8.424725908	250.2034809	7.260027397
138	8.378566558	250.2489486	7.232191781
139	8.43072234	250.2040298	7.264027397
140	8.495641716	250.0442193	7.30169863
141	8.45260081	250.1024523	7.277068493
142	8.427330061	250.2107886	7.261287671
143	8.450935926	250.1037436	7.275369863
144	8.430617855	250.2073181	7.263780822
145	8.450935926	250.1037436	7.275369863
146	8.619521592	247.9536808	7.828520548
147	8.416038992	247.683525	7.781534247
148	8.435470394	247.6562648	7.803315068
149	8.619621904	247.956519	7.828630137
150	8.441028113	247.6422008	7.809068493
151	8.566479018	249.1030723	7.502958904
152	8.617517709	248.1002108	7.764657534
153	7.979503285	247.4800719	6.968657534
154	8.557103994	249.2285432	7.459369863
155	8.535953042	249.4850691	7.421041096
156	8.613319927	248.0011753	7.791589041
157	8.616527955	248.1764726	7.743890411
159	8.196950535	248.0907764	7.156027397
160	8.291778002	248.5074409	7.164054795
161	8.423508316	249.060067	7.237534247
162	8.518376727	249.4820197	7.247178082
163	8.329320162	248.666073	7.163205479
164	8.35336281	248.7895608	7.177260274
165	8.518376727	249.4820197	7.247178082
166	8.518376727	249.4820197	7.247178082
167	8.460405479	249.4143492	7.193013699
168	8.360853558	248.8400359	7.179534247
169	8.49614592	249.3985671	7.222493151
170	8.464349119	249.4173481	7.196986301
171	8.434971849	249.403263	7.171808219
172	8.423707312	249.4026746	7.162246575
173	8.316297863	248.4379671	7.269835616
174	8.308908562	248.4722641	7.259616438
175	8.310062739	248.6095896	7.263726027
176	8.125541934	247.7742706	7.100794521
177	8.222800635	248.15662	7.183561644
178	8.50767086	249.3684142	7.250630137
179	8.425255456	249.3908677	7.165452055
180	8.336366638	248.6039549	7.297123288
181	8.32591103	248.6828677	7.27890411
182	8.402815867	249.4012343	7.158493151
185	8.17580849	248.2165932	7.404410959
186	8.170384466	248.2920869	7.379068493
187	8.414464405	249.1714654	7.132575342
188	8.397937672	249.1504448	7.111917808
189	8.394534985	249.1451258	7.102739726
190	8.39779725	249.1508382	7.115287671
191	8.196591441	248.7990143	7.067835616
192	8.195987477	248.8036524	7.058575342
193	8.110659051	248.0324218	7.340630137
194	8.070904719	247.6657518	7.315589041
196	8.056858649	247.4978755	7.343616438
197	8.377397024	249.0755341	7.073342466
198	8.360774896	249.0106015	7.025068493
199	8.369347165	249.0444967	7.055315068
200	8.383366398	249.0812338	7.082821918
201	8.327980127	249.1265616	7.030164384
202	8.297904004	249.4715156	6.972356164
203	8.296388802	249.5888402	6.986136986
204	8.101007149	247.5676248	7.434986301
205	8.214046118	248.7920984	7.040410959
206	8.220637682	248.7820601	7.025753425
207	8.098089214	247.7043043	7.396164384
208	8.101108653	247.9230003	7.363452055
209	8.110991505	248.0190683	7.342821918
210	8.102013351	247.6635346	7.402164384
212	8.109207265	248.0287875	7.339753425
213	8.097232262	247.7908253	7.385534247
214	8.098834602	247.511183	7.447013699
215	8.091562798	247.2357814	7.493068493
216	8.091736606	246.8186998	7.574410959
217	8.091447699	247.2015746	7.500027397
219	8.100832164	247.5373199	7.441232877
