NUMMER_TAL	CentX	CentY
1908	723535	6175787
1909	723472	6175938
1910	723421	6176273
1911	723351	6176169
1912	723377	6176269
1913	723438	6176240
1914	723509	6176177
1915	723552	6176215
1916	723625	6176113
1917	723614	6176040
1920	723394	6176361
1921	723458	6176372
1922	723468	6176405
1923	723291	6176505
1924	723360	6176494
1925	723513	6176477
1926	723649	6176396
1927	723642	6176328
1928	723646	6176253
1950	722461	6176536
1951	722383	6176552
1952	722473	6176586
1953	722476	6176646
1954	722548	6176732
1955	722658	6176730
1956	722706	6176708
1957	722757	6176684
1958	722770	6176833
1959	722688	6176962
1960	723666	6176739
1961	723089	6176524
1962	723109	6176636
1963	723153	6176506
1964	723129	6176829
1965	723143	6176718
1966	723266	6176754
1967	723251	6176853
1970	723262	6176654
1971	723392	6176834
1972	723420	6176767
1973	723503	6176774
1974	723566	6176691
2000	721291	6176891
2100	724951	6179921
2200	723389	6178405
2300	726953	6174679
2400	721628	6180267
2450	722375	6172891
2450	722983	6174930
2500	720465	6174518
2600	713921	6176526
2605	714580	6172806
2610	717123	6177414
2620	710605	6176324
2625	711747	6171855
2630	706166	6174580
2635	708633	6169580
2640	701149	6172170
2650	718312	6171179
2660	715693	6169620
2665	713586	6169330
2670	706777	6166412
2680	701977	6159380
2690	703412	6163023
2700	719214	6179859
2720	719364	6177511
2730	715712	6182490
2740	713472	6180349
2750	710389	6182547
2760	705890	6187586
2765	705858	6180570
2770	729097	6170550
2791	727216	6166083
2800	720340	6187939
2820	721704	6184855
2830	717558	6188848
2840	718323	6192250
2850	721310	6192093
2860	719580	6182971
2880	716388	6185849
2900	723751	6182836
2920	724450	6185594
2930	723678	6189162
2942	723224	6193327
2950	721971	6195373
2960	721038	6199357
2970	717385	6198508
2980	715590	6202978
2990	718838	6204802
3000	720570	6216530
3050	719769	6207944
3060	721040	6211881
3070	723368	6213478
3080	714615	6214890
3100	714676	6219632
3120	710975	6221167
3140	719054	6219867
3150	720990	6219157
3200	698958	6213640
3210	695713	6218635
3220	691832	6215450
3230	705680	6217670
3250	706620	6222685
3300	689192	6209144
3310	692197	6201392
3320	696770	6201884
3330	700457	6198556
3360	685491	6211519
3370	684950	6209582
3390	681581	6206365
3400	704792	6204077
3450	709640	6197369
3460	714401	6194448
3480	712793	6208609
3490	718069	6212029
3500	711032	6187198
3520	709911	6191188
3540	705070	6194044
3550	699293	6193964
3600	693722	6193143
3630	685780	6193897
3650	697731	6187693
3660	700531	6186077
3670	702569	6183411
3700	869686	6123438
3720	879753	6118661
3730	889278	6118426
3740	890357	6126876
3751	884796	6127120
3760	877358	6132277
3770	867883	6138520
3782	870527	6131411
3790	865029	6132163
4000	693788	6171191
4040	694714	6183347
4050	685983	6183757
4060	680747	6171411
4070	682064	6177220
4100	679318	6148013
4130	690753	6159873
4140	687242	6154238
4160	675606	6134582
4171	669916	6139144
4173	668743	6146514
4174	680840	6157603
4180	662669	6146705
4190	658110	6153492
4200	649849	6142765
4220	638184	6135810
4230	647500	6123197
4241	643178	6136902
4242	644636	6131088
4243	657439	6123375
4250	662221	6133482
4261	653946	6128727
4262	660887	6125141
4270	645727	6153165
4281	639378	6156571
4291	650235	6158901
4293	656480	6158748
4295	662652	6159550
4296	667383	6158560
4300	669896	6179382
4320	686313	6165437
4330	680855	6164510
4340	672151	6167204
4350	666391	6164943
4360	675149	6161905
4370	671960	6159165
4390	672672	6172688
4400	633045	6172742
4420	663435	6172593
4440	657426	6168932
4450	650525	6168826
4460	649801	6176428
4470	644921	6169369
4480	638854	6161805
4490	640847	6165374
4500	665068	6199488
4520	656183	6179308
4532	661295	6180660
4534	652246	6182021
4540	652515	6187607
4550	656769	6188725
4560	662807	6192043
4571	662388	6187212
4572	663498	6195975
4573	660694	6199299
4581	671966	6204550
4583	647259	6205665
4591	646906	6179331
4592	634073	6195845
4593	642176	6177042
4600	700184	6149441
4621	695960	6163000
4622	696780	6160017
4623	696127	6155907
4632	692543	6149206
4640	699575	6126675
4652	704017	6139385
4653	702958	6133732
4654	700453	6123912
4660	713789	6134586
4671	708999	6143224
4672	711515	6140127
4673	713570	6129258
4681	698235	6145494
4682	695640	6140844
4683	692201	6126383
4684	683622	6127052
4690	688103	6135280
4700	674725	6123449
4720	694468	6111133
4733	689755	6119307
4735	695922	6104761
4736	668565	6118959
4750	682069	6111040
4760	685544	6102943
4771	700809	6100417
4772	697288	6099118
4773	694212	6097682
4780	710434	6097291
4791	722563	6098352
4792	703059	6089443
4793	694631	6090927
4800	688441	6075158
4840	681960	6088564
4850	695054	6084356
4862	674735	6083047
4863	686255	6082321
4871	697657	6079471
4872	692092	6069397
4873	688282	6064525
4874	688859	6056075
4880	675610	6062592
4891	679014	6071573
4892	677817	6065317
4894	668036	6064122
4895	661842	6059914
4900	636195	6078502
4912	632320	6084206
4913	641684	6088918
4920	647097	6074827
4930	659683	6074381
4941	658306	6079440
4943	648020	6086636
4944	654620	6091618
4951	655895	6076717
4952	652281	6080348
4953	647623	6082675
4960	661985	6064606
4970	653618	6063131
4983	641351	6069654
4990	670956	6075502
5000	588334	6140788
5200	583542	6139592
5210	581797	6142217
5220	594613	6135344
5230	589416	6137283
5240	592228	6141970
5250	582835	6134795
5260	587339	6132128
5270	585471	6145473
5290	596978	6140134
5300	603245	6145290
5320	594251	6143797
5330	597092	6146532
5350	602369	6140337
5370	603238	6151456
5380	606160	6153323
5390	603484	6158476
5400	571935	6157236
5450	586877	6155720
5462	575598	6143770
5463	564972	6145730
5464	562145	6149973
5466	557008	6150258
5471	574019	6149945
5474	572355	6146650
5485	580518	6153200
5491	578575	6138743
5492	572074	6139032
5500	549417	6151071
5540	606071	6136852
5550	600889	6135941
5560	566765	6136997
5580	553378	6144712
5591	560604	6138862
5592	555894	6139632
5600	581169	6108720
5610	559973	6128327
5620	569073	6126733
5631	562526	6118119
5642	575275	6111080
5672	580426	6121785
5683	570585	6118326
5690	576565	6130603
5700	601332	6099517
5750	591636	6121019
5762	592731	6103987
5771	596407	6109941
5772	597857	6116077
5792	590757	6128920
5800	611259	6132425
5853	604980	6124710
5854	602293	6119588
5856	598341	6122341
5863	602123	6130751
5871	611685	6122284
5874	611620	6115709
5881	607717	6105591
5882	608359	6108387
5883	610020	6110057
5884	608833	6112906
5892	604456	6113781
5900	611676	6084965
5932	609219	6075278
5935	609366	6068464
5953	619070	6100621
5960	595406	6080744
5970	588839	6080974
5985	581667	6087521
6000	529910	6150110
6040	521869	6162250
6051	530826	6156934
6052	531714	6160651
6064	520138	6155621
6070	528578	6134521
6091	535717	6145468
6092	540141	6146238
6093	534209	6139689
6094	537496	6137394
6100	534844	6122292
6200	529417	6095875
6230	519042	6104304
6240	499632	6100669
6261	484077	6101863
6270	493372	6089490
6280	481786	6091661
6300	534928	6086237
6310	544340	6081408
6320	540174	6084487
